id   name   point
id_1   one   500
id_10   cba   0
id_11   acb   0
id_12   루시   0
id_13   위클리   1500
id_14   stayc   700
id_15   에스파   0
id_16   enhypen   0
id_17   billlie   500
id_18   하이키   600
id_19   nmixx   0
id_2   two   0
id_20   lesserafim   0
id_21   뉴진스   0
id_22   피프티피프티   500
id_23   플레이브   300
id_24   kit   0
id_25   hind   100
id_26   luckless   0
id_27   opinion   0
id_28   science   0
id_29   immunity   0
id_3   three   1500
id_30   erase   50
id_31   홍길동   500
id_4   four   0
id_5   five   0
id_6   데이드림   1000
id_7   bca   0
id_8   bac   500
id_9   cab   0
