"cno"	"id"	"date"	"point"	"atCheck"
"930"	"abc113"	"23/5/2024 00:00:00"	"1000"	
"931"	"abc114"	"24/5/2024 00:00:00"	"0"	"T"
"932"	"abc115"	"25/5/2024 00:00:00"	"0"	
"933"	"abc116"	"26/5/2024 00:00:00"	"0"	"T"
"934"	"abc117"	"27/5/2024 00:00:00"	"0"	"T"
"935"	"abc118"	"28/5/2024 00:00:00"	"700"	
"936"	"abc119"	"29/5/2024 00:00:00"	"500"	
"937"	"abc120"	"30/5/2024 00:00:00"	"0"	
"938"	"abc121"	"31/5/2024 00:00:00"	"0"	"T"
"939"	"abc122"	"1/6/2024 00:00:00"	"0"	
"940"	"abc123"	"2/6/2024 00:00:00"	"0"	
"941"	"abc124"	"3/6/2024 00:00:00"	"0"	"T"
"942"	"abc125"	"4/6/2024 00:00:00"	"500"	
"943"	"abc126"	"5/6/2024 00:00:00"	"0"	"T"
"944"	"abc127"	"6/6/2024 00:00:00"	"400"	
"945"	"abc128"	"7/6/2024 00:00:00"	"0"	"T"
"946"	"abc129"	"8/6/2024 00:00:00"	"0"	
